utt,spk,partner,logmel_l1,snr_db
p00_u81,p00,tstnn,0.4422,-5.89
p00_u82,p00,ce0.0,0.2835,12.08
p00_u82,p00,ce10.0,0.7299,3.82
p00_u82,p00,demucs,0.3349,-5.15
p00_u82,p00,tstnn,0.4138,-5.52
p00_u83,p00,ce0.0,0.3175,10.77
p00_u83,p00,ce10.0,0.7092,3.12
p00_u83,p00,demucs,0.3686,-5.39
p00_u83,p00,tstnn,0.4326,-6.03
p00_u84,p00,ce0.0,0.3088,11.08
p00_u84,p00,ce10.0,0.718,2.68
p00_u84,p00,demucs,0.4168,-5.77
p00_u84,p00,tstnn,0.4021,-5.52
p00_u85,p00,ce0.0,0.2741,11.62
p00_u85,p00,ce10.0,0.6639,3.55
p00_u85,p00,demucs,0.4058,-5.18
p00_u85,p00,tstnn,0.3992,-5.25
p00_u86,p00,ce0.0,0.2999,10.69
p00_u86,p00,ce10.0,0.7584,2.61
p00_u86,p00,demucs,0.4101,-5.57
p00_u86,p00,tstnn,0.443,-5.9
p00_u87,p00,ce0.0,0.294,11.84
p00_u87,p00,ce10.0,0.7166,2.99
p00_u87,p00,demucs,0.4838,-6.38
p00_u87,p00,tstnn,0.3662,-5.47
p00_u88,p00,ce0.0,0.3202,10.54
p00_u88,p00,ce10.0,0.7459,2.78
p00_u88,p00,demucs,0.3606,-5.11
p00_u88,p00,tstnn,0.4121,-5.5
p00_u89,p00,ce0.0,0.344,9.83
p00_u89,p00,ce10.0,0.7254,2.94
p00_u89,p00,demucs,0.4389,-5.33
p00_u89,p00,tstnn,0.4205,-5.67
p00_u90,p00,ce0.0,0.3323,11.27
p00_u90,p00,ce10.0,0.7753,2.7
p00_u90,p00,demucs,0.4037,-5.51
p00_u90,p00,tstnn,0.4016,-5.92
p00_u91,p00,ce0.0,0.2658,12.5
p00_u91,p00,ce10.0,0.7352,2.52
p00_u91,p00,demucs,0.3717,-5.78
p00_u91,p00,tstnn,0.3939,-6.19
p00_u92,p00,ce0.0,0.2856,11.98
p00_u92,p00,ce10.0,0.7023,3.12
p00_u92,p00,demucs,0.3813,-5.09
p00_u92,p00,tstnn,0.3729,-5.48
p00_u93,p00,ce0.0,0.3041,10.86
p00_u93,p00,ce10.0,0.7004,3.21
