condition,speaker_id,sentence_id,cer
no_se/pink/snr_+0dB,p00,u19,0.6829
no_se/pink/snr_+0dB,p00,u20,1.0
no_se/pink/snr_+0dB,p00,u21,0.5882
no_se/pink/snr_+0dB,p00,u22,0.9455
no_se/pink/snr_+0dB,p00,u23,0.4848
no_se/pink/snr_+0dB,p00,u24,0.6939
no_se/pink/snr_+0dB,p00,u25,0.9811
no_se/pink/snr_+0dB,p00,u26,0.697
no_se/pink/snr_+0dB,p00,u27,0.9483
no_se/pink/snr_+0dB,p00,u28,0.7818
no_se/pink/snr_+0dB,p00,u29,0.6981
no_se/pink/snr_+0dB,p00,u30,0.9455
no_se/pink/snr_+0dB,p00,u31,1.0333
no_se/pink/snr_+0dB,p00,u32,0.9444
no_se/pink/snr_+0dB,p00,u33,0.8718
no_se/pink/snr_+0dB,p00,u34,0.7941
no_se/pink/snr_+0dB,p00,u35,1.1389
no_se/pink/snr_+0dB,p00,u36,0.675
no_se/pink/snr_+0dB,p00,u37,1.1186
no_se/pink/snr_+0dB,p00,u38,0.4878
no_se/pink/snr_+0dB,p00,u39,0.7872
no_se/pink/snr_+0dB,p00,u40,0.8378
no_se/pink/snr_+0dB,p00,u41,1.0
no_se/pink/snr_+0dB,p00,u42,0.9464
no_se/pink/snr_+0dB,p00,u43,0.9697
no_se/pink/snr_+0dB,p00,u44,0.7049
no_se/pink/snr_+0dB,p00,u45,1.4889
no_se/pink/snr_+0dB,p00,u46,0.9556
no_se/pink/snr_+0dB,p00,u47,0.6102
no_se/pink/snr_+0dB,p00,u48,0.7111
no_se/pink/snr_+0dB,p00,u49,0.9429
no_se/pink/snr_+10dB,p00,u00,0.3208
no_se/pink/snr_+10dB,p00,u01,0.5455
no_se/pink/snr_+10dB,p00,u02,0.6
no_se/pink/snr_+10dB,p00,u03,0.3387
no_se/pink/snr_+10dB,p00,u04,0.4643
no_se/pink/snr_+10dB,p00,u05,0.3571
no_se/pink/snr_+10dB,p00,u06,0.1897
no_se/pink/snr_+10dB,p00,u07,0.4259
no_se/pink/snr_+10dB,p00,u08,0.5952
no_se/pink/snr_+10dB,p00,u09,0.7561
no_se/pink/snr_+10dB,p00,u10,0.4333
no_se/pink/snr_+10dB,p00,u11,0.4286
no_se/pink/snr_+10dB,p00,u12,0.5312
no_se/pink/snr_+10dB,p00,u13,0.2941
no_se/pink/snr_+10dB,p00,u14,0.4706
no_se/pink/snr_+10dB,p00,u15,0.6818
no_se/pink/snr_+10dB,p00,u16,0.4186
no_se/pink/snr_+10dB,p00,u17,0.6111
no_se/pink/snr_+10dB,p00,u18,0.4844
no_se/pink/snr_+10dB,p00,u19,0.2683
no_se/pink/snr_+10dB,p00,u20,0.4776
no_se/pink/snr_+10dB,p00,u21,0.3725
no_se/pink/snr_+10dB,p00,u22,0.4364
no_se/pink/snr_+10dB,p00,u23,0.2727
no_se/pink/snr_+10dB,p00,u24,0.3878
no_se/pink/snr_+10dB,p00,u25,0.5472
no_se/pink/snr_+10dB,p00,u26,0.5152
no_se/pink/snr_+10dB,p00,u27,0.5
no_se/pink/snr_+10dB,p00,u28,0.4364
no_se/pink/snr_+10dB,p00,u29,0.4906
no_se/pink/snr_+10dB,p00,u30,0.3455
no_se/pink/snr_+10dB,p00,u31,0.4833
no_se/pink/snr_+10dB,p00,u32,0.6944
no_se/pink/snr_+10dB,p00,u33,0.641
no_se/pink/snr_+10dB,p00,u34,0.7059
no_se/pink/snr_+10dB,p00,u35,0.5
no_se/pink/snr_+10dB,p00,u36,0.425
