speaker,utterance,no_se,taps_pretrained,enc_best,ce_best
p02,p02_u75,0.42592592592592593,0.2962962962962963,0.2222222222222222,0.2037037037037037
p02,p02_u76,0.2564102564102564,0.16666666666666666,0.24358974358974358,0.15384615384615385
p02,p02_u77,0.35135135135135137,0.21621621621621623,0.22972972972972974,0.22972972972972974
p02,p02_u78,0.3793103448275862,0.2413793103448276,0.2413793103448276,0.2413793103448276
p02,p02_u79,0.2948717948717949,0.28205128205128205,0.11538461538461539,0.1282051282051282
p02,p02_u80,0.35714285714285715,0.14285714285714285,0.2,0.14285714285714285
p02,p02_u81,0.5308641975308642,0.2839506172839506,0.19753086419753085,0.14814814814814814
p02,p02_u82,0.6029411764705882,0.4264705882352941,0.38235294117647056,0.39705882352941174
p02,p02_u83,0.475,0.375,0.4375,0.35
p02,p02_u84,0.46511627906976744,0.5232558139534884,0.5,0.4883720930232558
p02,p02_u85,0.3181818181818182,0.24242424242424243,0.18181818181818182,0.15151515151515152
p02,p02_u86,0.7457627118644068,0.711864406779661,0.6440677966101694,1.0
p02,p02_u87,0.45454545454545453,0.43636363636363634,0.41818181818181815,0.4909090909090909
p02,p02_u88,0.3333333333333333,0.24691358024691357,0.20987654320987653,0.3333333333333333
p02,p02_u89,0.4794520547945205,0.2328767123287671,0.136986301369863,0.136986301369863
p02,p02_u90,0.23943661971830985,0.15492957746478872,0.11267605633802817,0.056338028169014086
p02,p02_u91,0.2564102564102564,0.16666666666666666,0.19230769230769232,0.16666666666666666
p02,p02_u92,0.30434782608695654,0.17391304347826086,0.13043478260869565,0.08695652173913043
p02,p02_u93,0.390625,0.171875,0.1875,0.078125
p02,p02_u94,1.0,0.10909090909090909,0.09090909090909091,0.01818181818181818
p02,p02_u95,0.2698412698412698,0.20634920634920634,0.14285714285714285,0.15873015873015872
p02,p02_u96,0.20270270270270271,0.22972972972972974,0.20270270270270271,0.12162162162162163
p02,p02_u97,0.425,0.475,0.4375,0.375
p02,p02_u98,0.38596491228070173,0.2982456140350877,0.3157894736842105,0.2631578947368421
p02,p02_u99,0.5060240963855421,0.24096385542168675,0.26506024096385544,0.2891566265060241
p04,p04_u00,0.3142857142857143,0.18571428571428572,0.18571428571428572,0.12857142857142856
p04,p04_u01,0.4084507042253521,0.28169014084507044,0.30985915492957744,0.2676056338028169
p04,p04_u02,0.4268292682926829,0.23170731707317074,0.21951219512195122,0.17073170731707318
p04,p04_u03,0.5,0.41304347826086957,0.34782608695652173,0.2391304347826087
p04,p04_u04,0.6875,0.3125,0.3125,0.2916666666666667
p04,p04_u05,0.3225806451612903,0.11290322580645161,0.16129032258064516,0.016129032258064516
p04,p04_u06,0.2840909090909091,0.07954545454545454,0.14772727272727273,0.09090909090909091
p04,p04_u07,0.38028169014084506,0.2535211267605634,0.2535211267605634,0.18309859154929578
p04,p04_u08,0.2638888888888889,0.1111111111111111,0.1111111111111111,0.19444444444444445
p04,p04_u09,0.725,0.6416666666666667,0.6,0.575
p04,p04_u10,0.41935483870967744,0.22580645161290322,0.2903225806451613,0.3064516129032258
